description,geometry_str,tipo,name,descripcion_1,descripcion_2,descripcion_3,descripcion_4,descripcion_5,descripcion_6,descripcion_7,descripcion_8,descripcion_9,descripcion_10,descripcion_11,descripcion_12,descripcion_13
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Guadalupe	<br><br>	81 2020 5359<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.2403371, 25.6879085, 0)",Educación,Unidad Regional 3 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Guadalupe	",,	81 2020 5359,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de San Pedro, García, Santa Catarina. <br><br>		81 2020-5474   <br> 81 2020-5475    <br>81 2020-5476	<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.3825333, 25.6543134, 0)",Educación,Unidad Regional 4 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de San Pedro, García, Santa Catarina. ",,		81 2020-5474   , 81 2020-5475    ,81 2020-5476	,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Apodaca, Cerralvo, Dr. Gonzalez, General Treviño, Higueras, Marín, Melchor Ocampo, Pesquería.	<br><br>	81 8386-1228 <br>81 2020-5357 <br>81 2020-5358 <br>81 2020-5375 <br><br>Lunes a Viernes de 8:00 a 18:00 hrs.<br> ""","c(-100.1827222, 25.7789741, 0)",Educación,Unidad Regional 6 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Apodaca, Cerralvo, Dr. Gonzalez, General Treviño, Higueras, Marín, Melchor Ocampo, Pesquería.	",,	81 8386-1228 ,81 2020-5357 ,81 2020-5358 ,81 2020-5375 ,,Lunes a Viernes de 8:00 a 18:00 hrs.," """,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Cadereyta, China, Dr. Coss, General Bravo, Los Aldamas, Los Herrera, Los Ramones, Juárez. <br><br>828 284 4601<br>828 284 4603<br>828 284 4605<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.0003231, 25.5852643, 0)",Educación,Unidad Regional 8 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde el Municipio de Cadereyta, China, Dr. Coss, General Bravo, Los Aldamas, Los Herrera, Los Ramones, Juárez. ",,828 284 4601,828 284 4603,828 284 4605,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde la zona norte de Monterrey<br><br>81 2020 5528<br>81 2020 5590<br>81 2020 5591<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.3399647, 25.7235337, 0)",Educación,Unidad Regional 11 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde la zona norte de Monterrey",,81 2020 5528,81 2020 5590,81 2020 5591,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde la zona sur de Monterrey<br><br>81 2020 5477<br>81 2020 5478 <br>81 2020 5479<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.3078481, 25.6544376, 0)",Educación,Unidad Regional 12 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde la zona sur de Monterrey",,81 2020 5477,81 2020 5478 ,81 2020 5479,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,
"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde los municipios de Abasolo, Ciénega de Flores, El Carmen, Escobedo, Hidalgo, General Zuazua, Mina, Salinas Victoria.<br><br>81 2020 5737<br>81 2020 5738<br>81 2020 5739<br>81 2020 5748<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.2876486, 25.7801954, 0)",Educación,Unidad Regional 13 SEP,"Oficinas de la Secretaría de Educación Estatal donde puedes acudir a solicitar información o realizar algún trámite escolar de Preescolar, Primaria o Secundaria. A esta oficina le corresponde los municipios de Abasolo, Ciénega de Flores, El Carmen, Escobedo, Hidalgo, General Zuazua, Mina, Salinas Victoria.",,81 2020 5737,81 2020 5738,81 2020 5739,81 2020 5748,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,
"Organismo descentralizado de Derechos Humanos que ofrece orientación jurídica, atención a victimas de delitos y recepción de quejas sobre discriminación o abuso de autoridad. <br><br>81 8345 8645	24 hrs/ 7 días de la semana","c(-100.3176599, 25.6787772, 0)",Derechos Humanos y Justicia,Comision Estatal De Derechos Humanos Nuevo León,"Organismo descentralizado de Derechos Humanos que ofrece orientación jurídica, atención a victimas de delitos y recepción de quejas sobre discriminación o abuso de autoridad. ",,81 8345 8645	24 hrs/ 7 días de la semana,,,,,,,,,,
"Oficina de contacto de la Fiscalia de Justicia en donde las victimas de un delito colocan una denuncia, iniciándose así el proceso de investigación. En caso de que el problema planteado por el ciudadano no sea de carácter penal, se le canalizará a la instancia que pueda brindarle el servicio. CODE especializado en Justicia Familiar<br><br>81 2033 3008	<br><br>24 hrs/ 7 días de la semana","c(-100.3638374, 25.8090152, 0)",Derechos Humanos y Justicia,Centro De Justicia Familiar COPAVIDE,"Oficina de contacto de la Fiscalia de Justicia en donde las victimas de un delito colocan una denuncia, iniciándose así el proceso de investigación. En caso de que el problema planteado por el ciudadano no sea de carácter penal, se le canalizará a la instancia que pueda brindarle el servicio. CODE especializado en Justicia Familiar",,81 2033 3008	,,24 hrs/ 7 días de la semana,,,,,,,,
"Oficina de contacto de la Fiscalia de Justicia en donde las victimas de un delito colocan una denuncia, iniciándose así el proceso de investigación. En caso de que el problema planteado por el ciudadano no sea de carácter penal, se le canalizará a la instancia que pueda brindarle el servicio. CODE especializado en Justicia Familiar<br><br>81 2033 5723	<br><br>L-V 9:00 AM a 6:00 PM","c(-100.2235926, 25.6952061, 0)",Derechos Humanos y Justicia,"Centro de Orientación y Denuncia (CODE)
","Oficina de contacto de la Fiscalia de Justicia en donde las victimas de un delito colocan una denuncia, iniciándose así el proceso de investigación. En caso de que el problema planteado por el ciudadano no sea de carácter penal, se le canalizará a la instancia que pueda brindarle el servicio. CODE especializado en Justicia Familiar",,81 2033 5723	,,L-V 9:00 AM a 6:00 PM,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 2020 2906 y 81 2020 2907<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.232341, 25.6740684, 0)",Empleo,Servicio Nacional de Empleo en Guadalupe,"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 2020 2906 y 81 2020 2907,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 2033 2405-01 y 81 2033 2405	<br><br>Lunes a viernes de 8:30 a 17:00 hrs.","c(-100.3221423, 25.66889, 0)",Empleo,"Bolsa de Empleo Municipal en Monterrey
","En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 2033 2405-01 y 81 2033 2405	,,Lunes a viernes de 8:30 a 17:00 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 2020 2911 y 81 2020 2912<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.1891052, 25.7811241, 0)",Empleo,Bolsa de Trabajo en Apodaca,"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 2020 2911 y 81 2020 2912,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 2033 0020	<br><br>Lunes a viernes de 8:00 a 16:30 hrs.","c(-100.2917848, 25.6759309, 0)",Empleo,"Servicio Nacional de Empleo Estatal
","En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 2033 0020	,,Lunes a viernes de 8:00 a 16:30 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 8220 6100 Ext. 1405	<br><br>Lunes a Viernes de 8:00 a 17:00 hrs.","c(-100.3226338, 25.8079244, 0)",Empleo,Bolsa de Empleo de Escobedo,"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 8220 6100 Ext. 1405	,,Lunes a Viernes de 8:00 a 17:00 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 1878 8000	<br><br>Lunes a Viernes de 8:00 a 17:00 hrs.","c(-100.0909289, 25.6462183, 0)",Empleo,Bolsa de Empleo de Juárez,"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 1878 8000	,,Lunes a Viernes de 8:00 a 17:00 hrs.,,,,,,,,
"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. <br><br>81 5515 1810 y 81 5515 1812<br><br>Lunes a viernes de 8:00 a 17:00 hrs.","c(-100.5786116, 25.7859549, 0)",Empleo,Bolsa de Empleo de García,"En este espacio puedes encontrar distintas vacantes de empleo a través de ferias laborales y bolsa de trabajo, que ofrece a los solicitantes opciones de trabajo acordes a sus intereses, conocimientos y habilidades. ",,81 5515 1810 y 81 5515 1812,,Lunes a viernes de 8:00 a 17:00 hrs.,,,,,,,,
"Comisión Mexicana de Ayuda a Refugiados, entidad federal encargada de atención a población solicitante y refugiada en Nuevo León<br><br>81 8486 1477 Ext. 218	<br><br>Lunes a viernes de 9:00 a 13:00 hrs","c(-100.3081255, 25.6359717, 0)",Instituciones Públicas,COMAR - Comisión Mexicana de Ayuda a Refugiados,"Comisión Mexicana de Ayuda a Refugiados, entidad federal encargada de atención a población solicitante y refugiada en Nuevo León",,81 8486 1477 Ext. 218	,,Lunes a viernes de 9:00 a 13:00 hrs,,,,,,,,
"Trámites migratorios, regularización migratoria.<br><br> 81 8486 1574	<br><br>Lunes a viernes de 14:00 a 18:00 hrs","c(-100.3080792, 25.6360119, 0)",Instituciones Públicas,Instituto Nacional de Migración,"Trámites migratorios, regularización migratoria.",, 81 8486 1574	,,Lunes a viernes de 14:00 a 18:00 hrs,,,,,,,,
"Ofrece oportunidades educativas, culturales y de recreación a las personas jóvenes.<br><br>8:00am a 6:00pm Lunes a viernes","c(-100.3038912, 25.6786643, 0)",Instituciones Públicas,"Instituto Estatal de la Juventud Nuevo León
","Ofrece oportunidades educativas, culturales y de recreación a las personas jóvenes.",,8:00am a 6:00pm Lunes a viernes,,,,,,,,,,
"Espacio de esparcimiento con alberca y canchas deportivas. Da oportunidades educativas, culturales y de recreación a las personas jóvenes.<br><br>81 2425 0575	<br><br>8:00am a 5:00pm","c(-100.154479, 25.6163717, 0)",Instituciones Públicas,"Instituto de la Juventud y el Deporte de Juarez Nuevo León
","Espacio de esparcimiento con alberca y canchas deportivas. Da oportunidades educativas, culturales y de recreación a las personas jóvenes.",,81 2425 0575	,,8:00am a 5:00pm,,,,,,,,
"El SIPINNA tiene el objetivo de velar, proteger y garantizar el cumplimiento de los derechos fundamentales de la niñez. <br><br>81 8344 8932	<br><br>Lunes a viernes de 9:00 a 17:00 hrs","c(-100.3395478, 25.6654179, 0)",Mujeres y Niñez,"SIPINNA (Sistema Nacional de Protección de Niñas, Niños y Adolescentes)
","El SIPINNA tiene el objetivo de velar, proteger y garantizar el cumplimiento de los derechos fundamentales de la niñez. ",,81 8344 8932	,,Lunes a viernes de 9:00 a 17:00 hrs,,,,,,,,
"Institución que protege a niñas, niños y adolescentes menores de 18 años victimas de maltrato que sean reportados o que se tenga conocimiento. Para reportar el maltrato comunicarse los telefonos indicados o puedes reportar a los correos: emergencias1@difnl.gob.mx, emergencias2@difnl.gob.mx, emergencias3@difnl.gob.mx, www.facebook/difnuevoleon<br><br>075, 800 000 0075, 81 2020 8515 y 8516	<br><br>Lunes a viernes de 9:00 a 17:00 hrs","c(-100.2522502, 25.6695949, 0)",Mujeres y Niñez,"Procuraduría de Protección de Niñas, Niños y Adolescentes del Estado
","Institución que protege a niñas, niños y adolescentes menores de 18 años victimas de maltrato que sean reportados o que se tenga conocimiento. Para reportar el maltrato comunicarse los telefonos indicados o puedes reportar a los correos: emergencias1@difnl.gob.mx, emergencias2@difnl.gob.mx, emergencias3@difnl.gob.mx, www.facebook/difnuevoleon",,"075, 800 000 0075, 81 2020 8515 y 8516	",,Lunes a viernes de 9:00 a 17:00 hrs,,,,,,,,
"Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.<br><br>Sierra de La Iguana S/N, Col. Cerro de La Silla. 67190 Guadalupe, N.L.<br><br> 81 2709 6271<br><br>	24 horas","c(-100.1914857, 25.6657311, 0)",Mujeres y Niñez,Puerta Violeta Guadalupe,"Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.",,"Sierra de La Iguana S/N, Col. Cerro de La Silla. 67190 Guadalupe, N.L.",, 81 2709 6271,,	24 horas,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""	<br><br>Gasoducto S/N, Col. Renaceres 3er Sector. Apodaca, Nuevo León. <br><br>81 1129 7673	<br><br>8:00 am a 6:00pm","c(-100.2389916, 25.8177721, 0)",Mujeres y Niñez,Puerta Violeta Apodaca,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""	",,"Gasoducto S/N, Col. Renaceres 3er Sector. Apodaca, Nuevo León. ",,81 1129 7673	,,8:00 am a 6:00pm,,,,
"Programas, Talleres, Actividades y Servicio para el Desarrollo Integral de las Mujeres en Monterrey<br><br>81 2090 2828	<br><br>8:00 am a 6:00pm ","c(-100.3052975, 25.6971746, 0)",Mujeres y Niñez,Instituto Municipal de las Mujeres Regias,"Programas, Talleres, Actividades y Servicio para el Desarrollo Integral de las Mujeres en Monterrey",,81 2090 2828	,,8:00 am a 6:00pm ,,,,,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""<br><br> 81 8372 9066	<br><br>8:00 am a 6:00pm ","c(-100.3087913, 25.6798662, 0)",Mujeres y Niñez,Puerta Violeta Monterrey,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""",, 81 8372 9066	,,8:00 am a 6:00pm ,,,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""<br><br>81 1129 7598	<br><br>8:00 am a 6:00pm ","c(-100.3699391, 25.7650323, 0)",Mujeres y Niñez,Puerta Violeta,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.","Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""",,81 1129 7598	,,8:00 am a 6:00pm ,,,,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""<br><br>81 1357 1371 <br><br>	8:00 am a 6:00pm ","c(-100.3172381, 25.7989161, 0)",Mujeres y Niñez,Puerta Violeta Escobedo,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""",,81 1357 1371 ,,	8:00 am a 6:00pm ,,,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""<br><br>81 1360 2711 y 800 509 2527<br><br>Lunes a Viernes","c(-100.308939, 25.6797767, 0)",Mujeres y Niñez,Alternativas Pacíficas,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""",,81 1360 2711 y 800 509 2527,,Lunes a Viernes,,,,,,
"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.<br><br>Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""<br><br>81 1360 2711 y 800 509 2527	<br><br>24 hrs/ 7 días de la semana","c(-100.4179382, 25.665369, 0)",Mujeres y Niñez,Puerta Violeta San Pedro Garza García,"""Refugio al que mujeres de todas las edades, junto con sus hijas e hijos y que hayan pasado o estén viviendo situación de violencia pueden acudir.",,"Se brinda apooy psicosocial, el cual incluye: abogados, trabajadoras sociales y psicólogas, además de la impartición de talleres de autoempleo.""",,81 1360 2711 y 800 509 2527	,,24 hrs/ 7 días de la semana,,,,,,
"Asesoría legal y psicológica las 24 horas para personas victimas de violencia de genero todos los días de la semana y en caso de ser necesario, acompañamiento en situaciones urgentes.<br><br>81 1300 5391, 81 1300 4875, 81 1300 5006, 81 1783 8350 y 81 1784 5253	<br><br>24 hrs/ 7 días de la semana vía telefonica","c(-100.3105169, 25.6731669, 0)",Mujeres y Niñez,Instituto Estatal de las Mujeres,"Asesoría legal y psicológica las 24 horas para personas victimas de violencia de genero todos los días de la semana y en caso de ser necesario, acompañamiento en situaciones urgentes.",,"81 1300 5391, 81 1300 4875, 81 1300 5006, 81 1783 8350 y 81 1784 5253	",,24 hrs/ 7 días de la semana vía telefonica,,,,,,,,
"""Orientación y asesoría legal en materia de asilo y migratoria en México. Servicios de Trabajo Social<br><br>81 8669 7038 (asistencia legal) y 81 8669 7650 (área psicosocial) <br><br>Lunes a viernes de 9:00 a 17:00 hrs","c(-100.3616622, 25.6792034, 0)",Organismos Internacionales y Sociedad Civil,Casa Monarca,"""Orientación y asesoría legal en materia de asilo y migratoria en México. Servicios de Trabajo Social",,81 8669 7038 (asistencia legal) y 81 8669 7650 (área psicosocial) ,,Lunes a viernes de 9:00 a 17:00 hrs,,,,,,,,
"Información, orientación y apoyo a personas<br>que huyen de sus países y que no pueden<br>volver porque su vida o seguridad corren<br>peligro. Así como programas para su<br>integración al país.<br><br>Edificio Latino, Piso 8. Juan Ignacio Ramón 506, Col. Centro. Monterrey, Nuevo León. C.P. 64000.	Monterrey	<br><br>55 4791 7041, 55 7005 5950 y 800 226 8769 o al correo mexmefomon@unhcr.org	<br><br>L-J de 9:00 a.m. a 4:30 p.m.<br>Viernes de 9:00 a.m. a 2:00 p.m.","c(-100.3110976, 25.670937, 0)",Organismos Internacionales y Sociedad Civil,ACNUR - Agencia de la ONU para los Refugiados,"Información, orientación y apoyo a personas",que huyen de sus países y que no pueden,volver porque su vida o seguridad corren,peligro. Así como programas para su,integración al país.,,"Edificio Latino, Piso 8. Juan Ignacio Ramón 506, Col. Centro. Monterrey, Nuevo León. C.P. 64000.	Monterrey	",,"55 4791 7041, 55 7005 5950 y 800 226 8769 o al correo mexmefomon@unhcr.org	",,L-J de 9:00 a.m. a 4:30 p.m.,Viernes de 9:00 a.m. a 2:00 p.m.,
"Consulta médica especializada, terapia física y de lenguaje como tramites especiales previa cita a personas con discapacidad transitoria o permanente, desde recién nacidos hasta adulto mayor. Las especialidades son las siguientes: Medicina Física y Rehabilitación, Pediatría, Ortopedia y Traumatología, Neurología, Otorrinolaringología, Urología, Genética, Medicina del Trabajo y Oftalmología.<br><br>81 2020 8000 Ext 8048 y 8037	<br><br>L-V 7:00 AM a 3:00 PM","c(-100.2883825, 25.6237777, 0)",Salud,Centro Estatal de Rehabilitacion y Educacion Especial,"Consulta médica especializada, terapia física y de lenguaje como tramites especiales previa cita a personas con discapacidad transitoria o permanente, desde recién nacidos hasta adulto mayor. Las especialidades son las siguientes: Medicina Física y Rehabilitación, Pediatría, Ortopedia y Traumatología, Neurología, Otorrinolaringología, Urología, Genética, Medicina del Trabajo y Oftalmología.",,81 2020 8000 Ext 8048 y 8037	,,L-V 7:00 AM a 3:00 PM,,,,,,,,
"Centro de salud comunitario donde se ofrece atención clínica y servicios básicos de salud a los habitantes de Nuevo León, como: promoción de la salud, diagnóstico temprano de enfermedades, y detección y control de riesgos. <br><br>81 2459 1415<br><br>Lunes a viernes de 8:00 a 15:30 hrs.<br> ","c(-100.2320852, 25.6750302, 0)",Salud,Centro de Atención Primaria de Adicciones y Salud Mental,"Centro de salud comunitario donde se ofrece atención clínica y servicios básicos de salud a los habitantes de Nuevo León, como: promoción de la salud, diagnóstico temprano de enfermedades, y detección y control de riesgos. ",,81 2459 1415,,Lunes a viernes de 8:00 a 15:30 hrs., ,,,,,,,
"Centro de salud comunitario donde se ofrece atención clínica y servicios básicos de salud a los habitantes de Nuevo León, como: promoción de la salud, diagnóstico temprano de enfermedades, y detección y control de riesgos. <br><br>81 8190 6979 y 81 8190 6983	<br><br>Lunes a Viernes de 8:00 a 16:00 hrs<br> ","c(-100.3083612, 25.6610255, 0)",Salud,Centro de Especialidades Dentales,"Centro de salud comunitario donde se ofrece atención clínica y servicios básicos de salud a los habitantes de Nuevo León, como: promoción de la salud, diagnóstico temprano de enfermedades, y detección y control de riesgos. ",,81 8190 6979 y 81 8190 6983	,,Lunes a Viernes de 8:00 a 16:00 hrs, ,,,,,,,
"Hospital de General Público donde se ofrecen servicios medicos como Planificación Familiar, Estomatología, Cardiología, Cirugía General<br><br>81 8305 5900	<br><br>24 horas / 7 días a la semana","c(-100.274372, 25.7140788, 0)",Salud,Hospital Metropolitano,"Hospital de General Público donde se ofrecen servicios medicos como Planificación Familiar, Estomatología, Cardiología, Cirugía General",,81 8305 5900	,,24 horas / 7 días a la semana,,,,,,,,
"Hospital de Especialidad Familiar e Infantil Público donde se ofrecen servicios medicos como planificación Familiar, Estomatología, Cardiología, Alergología, Cirugía General, Dermatología, Endocrinólogo, Epidemiologia<br><br>81 8131 3232	<br><br>24 horas / 7 días a la semana","c(-100.2233881, 25.694406, 0)",Salud,Hospital Regional de Alta Especialidad Materno Infantil,"Hospital de Especialidad Familiar e Infantil Público donde se ofrecen servicios medicos como planificación Familiar, Estomatología, Cardiología, Alergología, Cirugía General, Dermatología, Endocrinólogo, Epidemiologia",,81 8131 3232	,,24 horas / 7 días a la semana,,,,,,,,
"Centros Comunitarios de Desarrollo Social en Nuevo León, en los que se ofrecen gratuitamente más de 150 talleres educativos (primaria, secundaria, preparatoria y licenciatura en línea), como talleres formativos, artísticos, culturales y deportivos.<br><br>81 832 65271	<br><br>9:00am a 6:00pm<br> ","c(-100.1897837, 25.6415598, 0)",Recreativo y cultural,Centro Comunitario Tierra Propia,"Centros Comunitarios de Desarrollo Social en Nuevo León, en los que se ofrecen gratuitamente más de 150 talleres educativos (primaria, secundaria, preparatoria y licenciatura en línea), como talleres formativos, artísticos, culturales y deportivos.",,81 832 65271	,,9:00am a 6:00pm, ,,,,,,,
"Centros Comunitarios de Desarrollo Social en Nuevo León, en los que se ofrecen gratuitamente más de 150 talleres educativos (primaria, secundaria, preparatoria y licenciatura en línea), como talleres formativos, artísticos, culturales y deportivos. <br><br>81 8900 8654<br><br>9:00am a 6:00pm","c(-100.2153987, 25.6441056, 0)",Recreativo y cultural,Centro Comunitario Unidad Piloto,"Centros Comunitarios de Desarrollo Social en Nuevo León, en los que se ofrecen gratuitamente más de 150 talleres educativos (primaria, secundaria, preparatoria y licenciatura en línea), como talleres formativos, artísticos, culturales y deportivos. ",,81 8900 8654,,9:00am a 6:00pm,,,,,,,,
